image_id,pano_id,lat,lng,address,elevation,heading
111,YHuImFJqNsGqB6W2tKxB8w,30.71331332837025,76.74765016046146,test address,344.8890686035156,4.046512421445563
112,7aE_tNnHG8lOaqJsber5Ig,30.67081987408305,76.8126789323355,"Ambala - Chandigarh Rd, Chandigarh",337.144775390625,2.729075658639245
113,QDzr50lZtGOYPxwVjbKY6Q,30.67390498362659,76.81092639651457,Chandigarh,339.9631652832031,2.5365211223432453
114,p3HEojqbUhMujyJPgu6PWQ,30.67386130749285,76.812000875,Chandigarh,337.8521118164062,2.648606115773628
115,zU3vymNRuJ84pfUdMP1CLA,30.67897088540561,76.80807134381085,Chandigarh,343.4909362792969,2.647932069701729
116,vUYIx0i13_7bnjVpahTtmg,30.68010125127514,76.80727126951093,"NH 5, Chandigarh",344.5421752929688,5.945604072665577
117,Glxydustrp3dmSKuxRdDwg,30.68004005956379,76.82448783797462,"Panchkula, Punjab",342.0043334960938,3.866783935275493
118,cmjlBZyPKi2ESyAL0DLuXg,30.68137654099341,76.80656519306878,"NH 5, Chandigarh",344.5011291503906,5.986246574061277
119,f5QyaklwKfQUdSlvaFYppw,30.68099479133105,76.80692148843814,"Bathinda - Chandigarh Hwy, Chandigarh",344.49169921875,2.824569957426761
120,_AGKZ8JxOsD54uxQYxTa0w,30.68121512931303,76.80996914525207,Chandigarh,341.6992797851562,4.323237495574061
121,8TIkVGeJ7yGR1jT4lFHaNw,30.68140768741302,76.81091152203399,Chandigarh,340.865966796875,4.358883374132553
122,Cg4eV0GOG04Y9sx6cCyXcg,30.68094773588815,76.8260522062919,"Zirakpur, Punjab",342.2605895996094,0.8706217817039923
123,U41Y1LtbXUTjmoiMp8p3ow,30.68206006937499,76.80624199144661,"Bathinda - Chandigarh Hwy, Chandigarh",344.8457641601562,6.014302443513044
124,Vx36Cl9G2Os-cZPE_UUgjg,30.68182658826217,76.80666174851045,Chandigarh,344.6233825683594,2.6424717905187403
125,_lNS9tfo1OnIxDgRpuhkMg,30.68163725139249,76.81204373776808,Chandigarh,339.4942321777344,4.456418985895615
126,EaAAqHPgmddqFFhQsJjTug,30.68192151044892,76.81404991002636,Chandigarh,338.41015625,4.275213776901097
127,PgAKchmp5rEOfmqdkIn7_w,30.68220424283377,76.81485055682505,Chandigarh,340.1504211425781,4.150873715082496
128,Sg26-RntoULDWjFwvPdcQg,30.68178576838031,76.82699657323955,"Panchkula, Haryana",343.3917541503906,5.630625618955291
129,18u7yWPRrMWIGUI-nWNkuQ,30.68312698616588,76.80581976845573,"Bathinda - Chandigarh Hwy, Chandigarh",345.0000610351562,6.058760189486391
130,x5vldz6-jCxtZ7xeKT7IMg,30.68296575913538,76.8059502114838,"Bathinda - Chandigarh Hwy, Chandigarh",345.1354675292969,6.058809724282668
131,dcMn959no9f3vTgoSXnzTg,30.6831057532207,76.81876649648387,Chandigarh,344.8211975097656,0.2591538035722646
132,cZ2KIQQLTBTb6KV0AXl-dQ,30.68285957533449,76.81984205134223,Chandigarh,344.2350769042969,5.7021618542603445
133,VtMDkOjWfuKXVR0wqSbviw,30.68297269616525,76.82596719443352,Chandigarh,343.8248596191406,1.1210557966560923
134,gE8kzEt5iOCm5saYUrJGfw,30.68389065500372,76.80582760208273,Chandigarh,345.076416015625,2.718884007463619
135,CGhyFiJ5zezqqPB4UJx12A,30.68414670243058,76.81434783185672,Chandigarh,342.4469299316406,2.623020860865129
136,RwEkKVuKSAzaLBqD2unK7A,30.68376783654319,76.8145329214853,Chandigarh,341.922119140625,2.647184786699853
137,90Tusnbzy3xTzgsP5lEcsg,30.68398947222811,76.81994968552365,Chandigarh,343.7650146484375,1.9347841350975847
138,7yNOxeJ9VjQ1z3FrpekqVw,30.68383101953186,76.82478652683157,Chandigarh,344.2736206054688,5.65890892236415
139,c0SvuehSDjjCvUr4F9mQCA,30.68414948117589,76.83136550794207,"Panchkula, Haryana",344.5102233886719,2.637209650520852
140,kn2M-wgtB2pC_ej86MwOCQ,30.68501822814208,76.80510998699327,"804 Bathinda - Chandigarh Hwy, Chandigarh",344.92333984375,6.069015490212068
141,Mj1n1PR8YX4yWcJdP2JCDA,30.68497052839576,76.81391577896048,Chandigarh,342.77294921875,2.608150301970344
142,eC9ikT8y3_h65Z1qyzs1AA,30.68563272677978,76.83172041223212,"Panchkula, Haryana",345.574462890625,1.2197494840191752
143,ZOatYLI2J3C_XupaESEvew,30.68600573592821,76.75501830247691,Chandigarh,336.5268249511719,4.024516042422053
144,fG56ZZl8vwWOrYnujrXGBQ,30.68586950870741,76.7611331572147,"253 Jagatpura Bypass Rd, Chandigarh, Punjab",337.6309814453125,1.0298318100974908
145,kv4PMeg1G0NJU13WFoLb3w,30.68611797758435,76.76179916403129,"Guru Nanak Rd, Chandigarh",337.4888305664062,4.181600202475394
146,4YdwQG2ZChenwRLkQii8bA,30.68627842569276,76.81708920727232,Chandigarh,344.9470520019531,6.202229471098922
147,q7UNPItlM3ze98FuGN7Q7A,30.6858655007215,76.81798734926211,Chandigarh,344.6861877441406,4.5929770981632805
148,-cigjm2l5awUEHaA_tN5hg,30.68602202880662,76.82612296145886,"Panchkula, Chandigarh",344.7885437011719,5.431265640809703
149,OTe1gimaL4qQEmXnjhZJ2Q,30.68581900137543,76.82678870928319,"Panchkula, Chandigarh",344.5993347167969,2.273646350095922
150,q1b8KjiYqe400t1T7oLx3w,30.68543204096674,76.83131754782502,"Panchkula, Haryana",345.9713134765625,4.174235496796888
